IBS0	IBS1	IBS2	maxlen
X3W1.1	0.00485325213933024	0.99514674786067	0	237938812
X3W1.10	0.988424114233222	0.0115758857667783	0	17790320
X3W1.12	0.918684545754273	0.0813154542457272	0	27488229
X3W1.13	1	0	0	0
X3W1.14	0.988359341131254	0.0116406588687456	0	23523799
X3W1.15	0.0166673958719327	0.983332604128067	0	180014287
X3W1.16	1	0	0	0
X3W1.17	2.48209833363337e-05	0.999975179016664	0	200981759
X3W1.18	1	0	0	0
X3W1.19	0.671517043959896	0.328482956040104	0	122490965
X3W1.2	0.997957860399374	0.00204213960062583	0	2230501
X3W1.20	1	0	0	0
X3W1.21	0.00289128741397724	0.997108712586023	0	191593177
X3W1.3	0.535398068059784	0.464601931940216	0	150485417
X3W1.4	0.999520178447656	0.000479821552343571	0	442669
X3W1.5	0.982879352948043	0.0171206470519569	0	11795073
X3W1.6	1	0	0	0
X3W1.7	1	0	0	0
X3W1.8	0.993733289444657	0.00626671055534274	0	9270468
X3W1.9	0.996323847955727	0.00367615204427267	0	3868006
X3W10.1	0.000827378638662677	0.999172621361337	0	246368539
X3W10.10	0.997496587488805	0.00250341251119548	0	4135851
X3W10.12	0.995294925082326	0.00470507491767419	0	2969509
X3W10.13	0.388911800749896	0.611088199250104	0	194504852
X3W10.14	0.517030312603444	0.482969687396556	0	148563100
X3W10.15	0.991174538173592	0.0088254618264077	0	13613513
X3W10.17	0.0045258503333777	0.995474149666622	0	180264625
X3W10.19	0.991494416077024	0.00850558392297642	0	13401938
X3W10.2	0.981011542488481	0.0189884575115193	0	27112008
X3W10.20	0.00211011949867525	0.997889880501325	0	191611881
X3W10.21	0.999947887593849	5.21124061507007e-05	0	128358
X3W10.22	0.999408960832519	0.000591039167480545	0	948146
X3W10.23	1	0	0	0
X3W10.24	0.999812263727588	0.000187736272412326	0	429169
X3W10.3	0.999998576413138	1.42358686232007e-06	0	3506
X3W10.4	0.0158247883807098	0.98417521161929	0	246611174
X3W10.5	0.99999701024943	2.98975056997717e-06	0	7365
X3W10.6	0.0023077727902192	0.997692227209781	0	191582787
X3W10.7	1	0	0	0
X3W10.8	0.505241621808381	0.494758378191619	0	148606160
X3W10.9	0	0.573857812425753	0.426142187574247	153450453
X3W11.1	0.532449908327205	0.467550091672795	0	125462962
X3W11.11	0.00580618634664734	0.994193813653353	0	183627129
X3W11.12	0.994070850935689	0.00592914906431121	0	14488528
X3W11.2	0.979501630705597	0.0204983692944028	0	33012307
X3W11.3	0.00103891682542533	0.998961083174575	0	194662860
X3W11.4	0.998345384389869	0.00165461561013141	0	3954161
X3W11.6	0.999940901074851	5.90989251487431e-05	0	145495
X3W11.7	0.0025799625374812	0.997420037462519	0	246368539
X3W11.8	0.00561832342966743	0.994381676570333	0	169570412
X3W11.9	0.000814281304682279	0.999185718695318	0	177529509
X3W2.1	0	1	0	187475416
X3W2.10	0.999639145679157	0.000360854320842807	0	441431
X3W2.11	0.281002524505636	0.718997475494364	0	246611174
X3W2.13	0.995081039417497	0.00491896058250292	0	4684124
X3W2.14	0.997323331735687	0.00267666826431282	0	3711459
X3W2.16	0.00438656958206567	0.995613430417934	0	191677503
X3W2.17	0.995547647535119	0.00445235246488081	0	10349617
X3W2.18	0.996852955127038	0.00314704487296166	0	6554833
X3W2.19	0	0.00360760040805895	0.996392399591941	1415704
X3W2.2	0.996068706641098	0.00393129335890199	0	9083863
X3W2.20	0.00424794011309114	0.995752059886909	0	174109790
X3W2.21	0.987544389149813	0.0124556108501866	0	13451987
X3W2.22	0.999888863164307	0.000111136835693267	0	273793
X3W2.23	0.984464629965092	0.0155353700349077	0	23551885
X3W2.3	0.000243573175309275	0.604474693264701	0.39528173355999	196984593
X3W2.4	0.993425817723414	0.00657418227658587	0	15254397
X3W2.5	0.379182989261043	0.620817010738957	0	136214148
X3W2.6	0.950418239993493	0.049581760006507	0	32379795
X3W2.7	0.436350211334495	0.563649788665505	0	183327553
